"Day","Count","Temperature","Windspeed","Humidity","Month","DayOfWeek"
1,985,46.76,10.75,81,1,6
2,801,48.38,16.65,70,1,7
3,1349,34.16,16.64,44,1,1
4,1562,34.52,10.74,59,1,2
5,1600,36.86,12.52,44,1,3
6,1606,34.88,6,52,1,4
7,1510,34.16,11.3,50,1,5
8,959,31.64,17.88,54,1,6
9,822,29.3,24.25,43,1,7
10,1321,30.38,14.96,48,1,1
11,1263,31.82,8.18,69,1,2
12,1162,32.18,20.41,60,1,3
13,1406,31.64,20.17,47,1,4
14,1421,31.28,8.48,54,1,5
15,1248,37.4,10.58,50,1,6
16,1204,37.22,12.63,48,1,7
17,1000,32.54,13,54,1,1
18,683,35.96,9.83,86,1,2
19,1650,42.26,13.96,74,1,3
20,1927,39.74,13.13,54,1,4
21,1543,32.54,23.67,46,1,5
22,981,22.64,11.52,40,1,6
23,986,25.7,16.52,44,1,7
24,1416,25.88,10.61,49,1,1
25,1985,36.5,8.7,62,1,2
26,506,35.96,19.69,86,1,3
27,431,34.16,7.63,69,1,4
28,1167,34.88,8.26,79,1,5
29,1098,34.16,9.74,65,1,6
30,1096,35.96,4.96,72,1,7
31,1501,32.9,12.54,60,1,1
32,1360,33.8,3.57,83,2,2
33,1526,39.56,17.71,78,2,3
34,1550,33.44,18.61,44,2,4
35,1708,35.42,8.57,59,2,5
36,1005,37.4,10.79,93,2,6
37,1623,41.72,9.5,57,2,7
38,1712,40.64,3.04,74,2,1
39,1530,36.32,24.25,54,2,2
40,1605,28.94,12.65,49,2,3
41,1538,29.84,14.87,44,2,4
42,1746,33.62,7.27,51,2,5
43,1472,36.5,13.63,54,2,6
44,1589,44.42,17.48,46,2,7
45,1913,52.7,28,38,2,1
46,1815,40.1,19.52,31,2,2
47,2115,44.6,16.87,42,2,3
48,2475,54.5,15.42,50,2,4
49,2927,61.7,17.75,52,2,5
50,1635,51.44,34,19,2,6
51,1812,41.72,14.96,41,2,7
52,1107,43.34,20.63,60,2,1
53,1450,33.08,13.11,58,2,2
54,1917,36.32,6.31,42,2,3
55,1807,42.62,16.78,70,2,4
56,1461,48.38,23.22,71,2,5
57,1969,41.54,12.5,54,2,6
58,2402,46.58,8.39,68,2,7
59,1446,51.98,19.41,88,2,1
60,1851,40.1,14.5,54,3,2
61,2134,45.86,20.62,45,3,3
62,1685,34.34,15.13,32,3,4
63,1944,39.74,13.62,61,3,5
64,2077,50.18,16.88,79,3,6
65,605,49.46,23,95,3,7
66,1872,39.74,22.87,55,3,1
67,2133,42.26,8.08,42,3,2
68,1891,42.62,14.75,78,3,3
69,623,50.54,17.55,0,3,4
70,1977,44.42,15.61,65,3,5
71,2132,45.5,14.79,59,3,6
72,2417,50.18,18.13,53,3,7
73,2046,45.14,9.17,50,3,1
74,2056,44.42,12.35,66,3,2
75,2192,48.56,13.61,78,3,3
76,2744,52.7,14.04,60,3,4
77,3239,63.32,15.48,53,3,5
78,3117,57.56,24.67,38,3,6
79,2471,45.68,13.92,47,3,7
80,2077,53.96,19.35,74,3,1
81,2703,55.04,15.13,62,3,2
82,2121,46.94,15.7,84,3,3
83,1865,41.72,16.33,81,3,4
84,2210,39.92,15.46,50,3,5
85,2496,40.1,14.04,39,3,6
86,1693,39.02,12.35,49,3,7
87,2028,39.92,14.22,30,3,1
88,2425,43.16,15.21,31,3,2
89,1536,42.98,11.58,65,3,3
90,1685,40.28,14.58,92,3,4
91,2227,42.98,17.33,69,4,5
92,2252,44.24,13.21,65,4,6
93,3249,49.64,12.21,48,4,7
94,3115,66.02,25.83,43,4,1
95,1795,52.7,26,64,4,2
96,2808,50.72,17.63,47,4,3
97,3141,54.68,10.87,60,4,4
98,1471,46.04,15.21,84,4,5
99,2455,46.58,8.92,88,4,6
100,2895,53.78,9.83,86,4,7
101,3348,68,21.74,72,4,1
102,2034,60.08,18.42,74,4,2
103,2162,52.52,16.79,82,4,3
104,3267,57.2,7.42,54,4,4
105,3126,55.4,15.17,67,4,5
106,795,53.96,22.83,89,4,6
107,3744,56.3,20.33,48,4,7
108,3429,60.98,10.96,54,4,1
109,3204,60.44,10.58,67,4,2
110,3944,68,16.21,61,4,3
111,4189,56.48,21.79,41,4,4
112,1683,46.04,14.71,73,4,5
113,4036,56.48,15.46,89,4,6
114,4191,66.74,12.88,81,4,7
115,4073,68.9,12.42,78,4,1
116,4400,71.06,21.88,73,4,2
117,3872,69.98,20.92,84,4,3
118,4058,69.8,21.5,70,4,4
119,4595,60.8,16.08,46,4,5
120,5312,57.56,15.75,50,4,6
121,3351,55.76,7.13,76,5,7
122,4401,64.04,12.29,73,5,1
123,4451,69.8,22.96,70,5,2
124,2633,52.7,22.04,74,5,3
125,4433,56.48,19.79,44,5,4
126,4608,58.1,15.29,59,5,5
127,4714,61.52,10.75,54,5,6
128,4333,62.24,5,63,5,7
129,4362,62.6,11.79,59,5,1
130,4803,62.6,7.75,49,5,2
131,4182,63.5,8.08,63,5,3
132,4864,62.78,12.71,75,5,4
133,4105,60.98,12.04,86,5,5
134,3409,61.7,9.04,92,5,6
135,4553,65.12,10.25,87,5,7
136,3958,66.38,8.5,79,5,1
137,4123,65.12,18.58,84,5,2
138,3855,64.22,13.5,87,5,3
139,4575,62.42,7.25,83,5,4
140,4917,62.96,8.38,72,5,5
141,5805,68.54,8.08,63,5,6
142,4660,68.72,9.92,75,5,7
143,4274,71.06,15.67,81,5,1
144,4492,73.4,13.88,74,5,2
145,4978,73.58,10.33,70,5,3
146,4677,77.54,13.38,68,5,4
147,4679,75.2,16.13,65,5,5
148,4758,73.04,15.42,73,5,6
149,4788,74.12,14.33,82,5,7
150,4098,79.7,8.79,68,5,1
151,3982,83.12,7.46,64,5,2
152,3974,82.22,13.88,68,6,3
153,4968,78.08,19.58,30,6,4
154,5312,69.98,16.96,35,6,5
155,5342,71.24,8.25,46,6,6
156,4906,72.5,9.29,65,6,7
157,4548,75.02,8.17,60,6,1
158,4833,77.54,12.58,60,6,2
